"id","OFF_RUSH_EPA_AWAY","OFF_PASS_EPA_AWAY","OFF_FDR_AWAY","DEF_RUSH_EPA_AWAY","DEF_PASS_EPA_AWAY","DEF_FDR_AWAY","OFF_TO_AWAY","DEF_TO_AWAY","OFF_EXP_RATE_AWAY","DEF_EXP_RATE_AWAY","PENS_AWAY","PEN_YDS_AWAY","OL_METRIC_AWAY","DL_METRIC_AWAY","OFF_RUSH_EPA_HOME","OFF_PASS_EPA_HOME","OFF_FDR_HOME","DEF_RUSH_EPA_HOME","DEF_PASS_EPA_HOME","DEF_FDR_HOME","OFF_TO_HOME","DEF_TO_HOME","OFF_EXP_RATE_HOME","DEF_EXP_RATE_HOME","PENS_HOME","PEN_YDS_HOME","OL_METRIC_HOME","DL_METRIC_HOME","DIV","PTS_DIFF"
"3993",-0.478380355285481,-0.055037895131865,0.275862068965517,0.0557545839717774,0.156359741266163,0.385714285714286,2,1,0.0862068965517241,0.171428571428571,5,41,8,6,0.0557545839717774,0.156359741266163,0.385714285714286,-0.478380355285481,-0.055037895131865,0.275862068965517,1,2,0.171428571428571,0.0862068965517241,5,38,6,8,1,17
"3994",0.050680098876487,0.283514698204507,0.328767123287671,-0.160142666393464,-0.395146922973639,0.245614035087719,1,3,0.0821917808219178,0.105263157894737,4,20,2,5,-0.160142666393464,-0.395146922973639,0.245614035087719,0.050680098876487,0.283514698204507,0.328767123287671,3,1,0.105263157894737,0.0821917808219178,6,42,5,2,1,-23
"3995",-0.110163803823312,0.347177972320526,0.25,-0.163419292571941,-0.4836026015894,0.215686274509804,1,2,0.133333333333333,0.0196078431372549,14,105,6,5,-0.163419292571941,-0.4836026015894,0.215686274509804,-0.110163803823312,0.347177972320526,0.25,2,1,0.0196078431372549,0.133333333333333,3,20,5,6,1,-16
"3996",-0.0393235373951529,0.324144852175212,0.384615384615385,-0.0861805956064927,0.31616708530986,0.301587301587302,2,0,0.138461538461538,0.142857142857143,8,91,6,0,-0.0861805956064927,0.31616708530986,0.301587301587302,-0.0393235373951529,0.324144852175212,0.384615384615385,0,2,0.142857142857143,0.138461538461538,14,98,0,6,0,-1
"3997",-0.472775771399029,-0.0960457710390564,0.272727272727273,-0.151316416127826,-0.3366935337602,0.180327868852459,3,2,0.106060606060606,0.0655737704918033,10,76,6,2,-0.151316416127826,-0.3366935337602,0.180327868852459,-0.472775771399029,-0.0960457710390564,0.272727272727273,2,3,0.0655737704918033,0.106060606060606,6,45,2,6,0,10
"3998",-0.0383281658578198,-0.484473769129677,0.285714285714286,-0.225087586983713,0.639512497448419,0.343283582089552,4,1,0.107142857142857,0.149253731343284,6,66,10,3,-0.225087586983713,0.639512497448419,0.343283582089552,-0.0383281658578198,-0.484473769129677,0.285714285714286,1,4,0.149253731343284,0.107142857142857,5,40,3,10,1,30
"3999",-0.310271550648031,-0.0203586553184408,0.27027027027027,0.0304268840671284,0.466265334547239,0.375,1,3,0.162162162162162,0.1875,10,78,12,3,0.0304268840671284,0.466265334547239,0.375,-0.310271550648031,-0.0203586553184408,0.27027027027027,3,1,0.1875,0.162162162162162,10,94,3,12,0,16
"4000",-0.0105425282198537,-0.195355676748645,0.301369863013699,-0.044499257759787,-0.218756838916893,0.276923076923077,3,0,0.0958904109589041,0.107692307692308,6,40,6,8,-0.044499257759787,-0.218756838916893,0.276923076923077,-0.0105425282198537,-0.195355676748645,0.301369863013699,0,3,0.107692307692308,0.0958904109589041,7,49,8,6,0,-11
"4001",0.237502341364234,-0.244849553097559,0.309859154929577,-0.127587850836428,0.0484570406366732,0.25531914893617,1,0,0.112676056338028,0.0851063829787234,4,35,5,3,-0.127587850836428,0.0484570406366732,0.25531914893617,0.237502341364234,-0.244849553097559,0.309859154929577,0,1,0.0851063829787234,0.112676056338028,5,25,3,5,0,-6
"4002",-0.113390832766891,0.604930344952403,0.333333333333333,0.0342951440429517,0.109277064585186,0.385542168674699,0,2,0.12962962962963,0.144578313253012,11,77,3,3,0.0342951440429517,0.109277064585186,0.385542168674699,-0.113390832766891,0.604930344952403,0.333333333333333,2,0,0.144578313253012,0.12962962962963,5,28,3,3,0,-7
